fold,accuracy,balanced_accuracy,f1,roc_auc,train_rows,validation_rows,train_end_date,train_label_end_date,validation_start_date,gap_rows
1,0.526595744680851,0.5330803217401155,0.600896860986547,0.5135946527699106,187,188,2021-10-27,2021-10-28,2021-10-29,1
2,0.4787234042553192,0.4718181818181818,0.3950617283950617,0.4881818181818182,375,188,2022-07-28,2022-07-29,2022-08-01,1
3,0.526595744680851,0.49941934734641735,0.6212765957446809,0.4926257112995006,563,188,2023-04-27,2023-04-28,2023-05-01,1
4,0.5053191489361702,0.48754699248120303,0.5829596412556054,0.5025845864661653,751,188,2024-01-26,2024-01-29,2024-01-30,1
5,0.5053191489361702,0.5143810400368154,0.5026737967914439,0.4856189599631846,939,188,2024-10-24,2024-10-25,2024-10-28,1
