metric,mean,standard_deviation
accuracy,0.5085106382978724,0.019759761298943274
balanced_accuracy,0.5012491766845466,0.023679892402755757
f1,0.5405737246346678,0.09294964455644866
roc_auc,0.4965211457361159,0.01153089766730241
