model,accuracy,balanced_accuracy,precision,recall,f1,roc_auc
Majority baseline,0.5477031802120141,0.5,0.5477031802120141,1.0,0.7077625570776256,0.5
Logistic regression,0.508833922261484,0.5005796370967741,0.5481927710843374,0.5870967741935483,0.5669781931464174,0.4806451612903226
Random forest,0.5159010600706714,0.5097530241935484,0.55625,0.5741935483870968,0.5650793650793651,0.5033770161290323
GradientBoosting,0.5300353356890459,0.5274193548387096,0.5733333333333334,0.5548387096774193,0.5639344262295082,0.5268649193548387
