Date,Open,High,Low,Close,Volume,return_1d,return_5d,gap_return,sma_ratio_5,sma_ratio_10,sma_ratio_20,sma_cross_5_20,ema_ratio_12,macd,macd_signal,rsi_14,stoch_k_14,roc_10,range_pct,atr_14_pct,volatility_10,volatility_20,bb_width_20,volume_change,volume_ratio_20,obv_change_5,next_return,target_up
2016-10-17,117.1,117.3,116.672,116.82,14143310,-0.0027317739457060064,-0.020130850528434885,-0.0003414717432133063,-0.003072196620583667,-0.00956353647370034,-0.010712622263623683,-0.0076639708684422825,-0.007462628796216508,1.7372938564589118e-05,0.0020409240916784,48.17405098142156,24.85875706214672,-0.014592998734711093,0.005375791816469784,0.009211485313180206,0.005421926129157212,0.006369365089842674,0.025655694503209918,-0.3361519152275706,0.7016580804776191,-2.871099913325301,0.02354048964218447,1
2016-10-18,118.18,118.41,117.8,117.86,19250530,0.008902585173771627,0.0028931245745404954,0.011641842150316828,0.005219705240174566,-0.00031383326123635147,-0.002268725450358944,-0.0074495462549099,0.0011619634323492,0.00012536234453198731,0.0016434044043543573,55.89997760164091,54.237288135593175,-0.0043085241192870605,0.0051756321058883375,0.00968170468594699,0.006333382132856141,0.006663096225077157,0.02423873309206308,0.3611050030014191,0.9521760841172227,-0.5720850169564214,0.01128457491939594,1
2016-10-19,117.77,118.02,117.64,117.85,13681110,-8.484642796546815e-05,0.003662067790836332,-0.0007636178516884362,0.004397702285782623,0.00039897116372245023,-0.002226681228992722,-0.006595379001464896,0.0009111722982011461,0.00020190965985917146,0.0013552170145154376,55.8138194442001,53.95480225988681,-0.007913124000336835,0.003224437844717823,0.009072671070973978,0.006183293383591461,0.006281564256142251,0.02433165969596182,-0.28931255399201994,0.7078727456722566,-0.5460344449072906,0.004497242257106571,1
2016-10-20,117.68,117.97,117.03,117.71,18087500,-0.0011879507848960857,0.006068376068375958,-0.001442511667373636,0.00199189621709972,7.646494082469424e-05,-0.002829453424147088,-0.004811765104537402,-0.00023512313253970518,0.00016500404064071137,0.0011184638964682617,54.54627674137577,49.9999999999998,-0.008590920576097116,0.007985727635714873,0.008907484495794735,0.006183728905955677,0.005989703420947148,0.023218458622393134,0.3220783986094695,0.9468563244532039,-0.3097320160444116,0.0011044091411096524,1
2016-10-21,117.8,118.22,117.41,118.15,15695890,0.003738000169909217,0.008622161516134597,0.0007645909438451781,0.004010945121433185,0.004087737636930822,0.0009742872876687958,-0.0030245266234593116,0.0029616335651652115,0.00043059931419090077,0.000977558781184547,57.790705717825695,62.42937853107356,-0.0027011057651725734,0.006855691917054611,0.008983132821473902,0.00632306103783772,0.005899270482032642,0.023126095030555863,-0.13222446440912228,0.8358781481782271,-0.6780685826595005,-0.008887008040626365,0
2016-10-24,118.93,119.65,118.8918,119.57,19130070,0.012018620397799218,0.02354048964218447,0.0066017774016080555,0.011350949013769984,0.01585332698973696,0.012048600677971866,0.0006898215351280879,0.012676433923840547,0.0015740930197838592,0.0010875781255555292,66.18057785337595,97.84366576819374,0.0029357490353967286,0.006341055448691162,0.009031768599385887,0.007178943314432986,0.006144433317535816,0.02513592521941393,0.21879485648790853,1.0113777198057274,1.2993100363328833,-0.02157731872543278,0
2016-10-25,119.62,119.66,119.01,119.19,20259080,-0.0031780546959939704,0.01128457491939594,0.00041816509157821535,0.005873715124816492,0.011190199455336725,0.008537751415202077,0.0026484798740915583,0.007991373446046834,0.0022095628424054774,0.0013147489908163562,62.5949400773242,87.36559139784949,0.014210347174949067,0.005453477640741601,0.008970671077391428,0.005284296350262156,0.005832032762249581,0.02623222075677719,0.05901755717569257,1.0665948411055572,-0.990270990338345,-0.025841094051514357,0
2016-10-26,118.41,119.03,118.03,118.38,20445470,-0.00679587213692423,0.004497242257106571,-0.0065441731688899996,-0.0018549747048903775,0.0035009790873716806,0.00181948969661061,0.003681293107095973,0.000965455306557006,0.002150821836786245,0.0014891603613792223,55.671032793388456,65.59139784946233,0.00817577925396007,0.00844737286703835,0.009230565008568043,0.005870616413006934,0.006031394814345404,0.025964402133317327,0.009200319066808627,1.0605594027867664,-1.279993561068004,-0.02703159317452264,0
2016-10-27,118.9,118.99,117.67,117.84,19028180,-0.004561581348200616,0.0011044091411096524,0.004392633890859976,-0.006625866167619288,-0.001787363088834426,-0.0027503914018534026,0.0039013244192442897,-0.003048290878151727,0.0017123680693574683,0.001539261146662209,51.5751638111888,51.07526881720447,0.007179487179487243,0.011201629327902182,0.009394093686354363,0.005960319735354723,0.00589274314163571,0.025964402133317327,-0.06932049006454732,1.0082500546695476,-1.3170005845047135,-0.03216225390359817,0
2016-10-28,117.47,118.11,116.74,117.1,35292290,-0.006279701289884643,-0.008887008040626365,-0.003139850644942377,-0.011113363059045978,-0.008022228434437007,-0.008333051048406426,0.0028115578740555147,-0.007888015741411292,0.0008459816520966762,0.0014083869949636544,46.52373754507521,31.18279569892465,-0.0003414717432133063,0.011699402220324548,0.009673051116262033,0.006351560816017512,0.005778523467351741,0.026777734533472985,0.8547380779454472,1.8219876145921774,-3.324203502445664,-0.029461998292057978,0
2016-10-31,117.53,117.53,116.93,116.99,18726820,-0.0009393680614858679,-0.02157731872543278,0.003672075149445009,-0.007718405428329134,-0.009096761078736915,-0.008609731708557278,-0.0008982594105384489,-0.007473195489374529,7.420433949581075e-05,0.0011426098540363973,45.80555116601821,28.225806451612836,0.0014552302687895757,0.005128643473801132,0.008693050688092983,0.0062914142364380535,0.005776158215439875,0.027746724684945344,-0.4693792893575339,0.9679404317313224,-5.0,-0.0054705530387212375,0
2016-11-01,117.19,117.21,115.1047,116.11,23455500,-0.007522010428241743,-0.025841094051514357,0.0017095478246003104,-0.010009890522151288,-0.015090466455733864,-0.015123883521498294,-0.005165701101846665,-0.012669805026071734,-0.0011405590459622561,0.000692903964289372,40.42871093887427,22.06879898140638,-0.014848124893941939,0.018131943846352593,0.009586537396803513,0.005887324941751282,0.005976398569185501,0.031075087153360603,0.2525084344272013,1.2054134991511152,-5.0,0.00861252260787193,1
2016-11-02,116.05,116.3,114.89,115.18,26465710,-0.008009646025320727,-0.02703159317452264,-0.0005167513564723336,-0.012551009910496846,-0.02076142218292487,-0.021514282680259122,-0.0090772008070511,-0.017467427908154254,-0.002740637196518392,1.0671513942642042e-05,35.66412125753838,6.079664570230744,-0.022655918540517517,0.012241708629970451,0.009620531838364779,0.006203640520767514,0.006076865800418961,0.036434142165348314,0.12833706380166698,1.3194157196650085,-5.0,0.021444695259593693,1
2016-11-03,115.02,115.37,113.92,114.05,36157570,-0.009810731029692765,-0.03216225390359817,-0.0013891300573016796,-0.01584315620523613,-0.02734188442382479,-0.029184063466932364,-0.013555671888898946,-0.023032567359607348,-0.00478538265268644,-0.0009484547332489862,30.899130633353536,2.2648083623692608,-0.031093365049698396,0.012713722051731722,0.009966368134276933,0.006621452265918161,0.006345050658077968,0.04495800542365725,0.3662044207391375,1.6999145871853039,-5.0,0.014905743095133817,1
