k,silhouette_score,davies_bouldin_score,inertia,iterations,fit_seconds
2,0.24200632521573917,1.5394132487402572,2693218.3380371965,8,0.7143599169939989
3,0.2083664561769425,1.5016702895699678,2298906.3939016815,12,1.2869716659988626
4,0.20315146908388465,1.6925807225841938,2036924.8400456053,9,1.2207941669985303
5,0.20863877925878888,1.5493369404375044,1810412.8588684718,10,1.3992475000050035
6,0.2078005508084426,1.5215154522377583,1702097.1521412637,20,1.3987003329966683
7,0.18027737257571233,1.5046036305914197,1622964.0259773675,33,1.726794666996284
8,0.21161501530957738,1.7738803466525719,1542321.3265156082,14,2.127507124998374
9,0.18817851074216288,1.7179227058016429,1479677.6186870784,19,2.946762999999919
10,0.189243111081692,1.9049818265482343,1441236.7637962361,17,4.465143082998111
