model,accuracy,balanced_accuracy,precision,recall,f1,roc_auc
Majority baseline,0.5441696113074205,0.5,0.5441696113074205,1.0,0.7048054919908466,0.5
Logistic regression,0.5017667844522968,0.4943873955501863,0.5393939393939394,0.577922077922078,0.5579937304075235,0.478757676432095
Random forest,0.5229681978798587,0.5170139937581798,0.5590062111801242,0.5844155844155844,0.5714285714285714,0.49838920769153333
