fold,accuracy,balanced_accuracy,f1,roc_auc,train_rows,validation_rows,train_end_date,train_label_end_date,validation_start_date,gap_rows
1,0.5026737967914439,0.5090002293052052,0.5507246376811594,0.48429259344187114,191,187,2021-11-02,2021-11-03,2021-11-04,1
2,0.5240641711229946,0.5067349758231637,0.3597122302158273,0.4871056873129173,378,187,2022-08-02,2022-08-03,2022-08-04,1
3,0.5454545454545454,0.5171136203246295,0.6382978723404256,0.5088214537755823,565,187,2023-05-01,2023-05-02,2023-05-03,1
4,0.5775401069518716,0.5305952380952381,0.6852589641434262,0.5216666666666666,752,187,2024-01-29,2024-01-30,2024-01-31,1
5,0.48663101604278075,0.4787444677381784,0.5428571428571428,0.45795481015606804,939,187,2024-10-24,2024-10-25,2024-10-28,1
