metric,mean,standard_deviation
accuracy,0.5272727272727273,0.03579294231161819
balanced_accuracy,0.5084377062572829,0.01904686220166678
f1,0.5553701694475962,0.12470794770070369
roc_auc,0.491968242270621,0.02452295220558119
