feature,importance_mean,importance_std,family
gap_return,0.0014677276746242066,0.0036965524297021463,Return history
roc_10,0.0013251547303271235,0.008328122161332437,Momentum
sma_ratio_5,0.0008305702917771552,0.002325514775176208,Trend
range_pct,-0.0005172413793103588,0.0016143186097917254,Volatility
sma_ratio_10,-0.00241710875331567,0.008018120065218398,Trend
sma_ratio_20,-0.0045308355437666,0.004071959465455215,Trend
volume_change,-0.005392351900972616,0.003931879238868618,Volume
return_5d,-0.006400309460654313,0.0038998534420994096,Return history
volume_ratio_20,-0.007650309460654303,0.005087727122736142,Volume
atr_14_pct,-0.010159151193633982,0.011619274918267423,Volatility
ema_ratio_12,-0.01018567639257297,0.007355064580943979,Trend
stoch_k_14,-0.010577475685234334,0.006911108063434937,Momentum
return_1d,-0.01372623784261718,0.006618223850207358,Return history
macd,-0.017325928381962886,0.007068466480324824,Trend
obv_change_5,-0.018444407603890375,0.006981773359368298,Volume
volatility_20,-0.019461759504862973,0.006644842676831306,Volatility
sma_cross_5_20,-0.019706012378426205,0.008737609087044183,Trend
rsi_14,-0.025224358974358995,0.010787460375029579,Momentum
bb_width_20,-0.036700375773651664,0.012623258409265575,Volatility
volatility_10,-0.05428437223695846,0.010822209283206166,Volatility
macd_signal,-0.055651525198939004,0.0126201094887661,Trend
