fold,accuracy,balanced_accuracy,f1,roc_auc,train_rows,validation_rows,train_end_date,train_label_end_date,validation_start_date,gap_rows
1,0.4484848484848485,0.43547956184878434,0.5210526315789473,0.4318537460402275,330,330,2018-02-07,2018-02-14,2018-02-15,5
2,0.5363636363636364,0.5227272727272727,0.6184538653366584,0.5054338842975207,660,330,2019-06-03,2019-06-10,2019-06-11,5
3,0.5181818181818182,0.5217391304347826,0.5470085470085471,0.5427611714975844,990,330,2020-09-22,2020-09-29,2020-09-30,5
4,0.503030303030303,0.48958526027599986,0.5858585858585859,0.5005364608383588,1000,330,2022-01-12,2022-01-20,2022-01-21,5
5,0.5636363636363636,0.5681818181818181,0.6,0.5857055402509949,1000,330,2023-05-08,2023-05-15,2023-05-16,5
