metric,mean,standard_deviation
accuracy,0.5139393939393939,0.04299400944881563
balanced_accuracy,0.5075426086937315,0.04905297662086515
f1,0.5744747259565478,0.03976055751486203
roc_auc,0.5132581605849372,0.05694029795456937
