model,accuracy,balanced_accuracy,precision,recall,f1,roc_auc
Majority baseline,0.5823293172690763,0.5,0.5823293172690763,1.0,0.7360406091370558,0.5
Logistic regression,0.4678714859437751,0.4520225464190981,0.5426621160409556,0.5482758620689655,0.5454545454545454,0.449104774535809
Random forest,0.4939759036144578,0.47103779840848803,0.560126582278481,0.6103448275862069,0.5841584158415841,0.4213362068965517
GradientBoosting,0.42971887550200805,0.4247015915119363,0.5116279069767442,0.45517241379310347,0.48175182481751827,0.4341760610079575
